"sepal.length","sepal.width","petal.length","petal.width","variety"
5.5,2.6,44,1.2,"Versicolor"
6.1,3,46,1.4,"Versicolor"
5.8,2.6,40,1.2,"Versicolor"
5,2.3,33,1,"Versicolor"
5.6,2.7,42,1.3,"Versicolor"
5.7,3,42,1.2,"Versicolor"
5.7,2.9,42,1.3,"Versicolor"
6.2,2.9,43,1.3,"Versicolor"
5.1,2.5,30,1.1,"Versicolor"
5.7,2.8,41,1.3,"Versicolor"
6.3,3.3,60,2.5,"Virginica"
5.8,2.7,51,1.9,"Virginica"
7.1,3,59,2.1,"Virginica"
6.3,2.9,56,1.8,"Virginica"
6.5,3,58,2.2,"Virginica"
7.6,3,66,2.1,"Virginica"
4.9,2.5,45,1.7,"Virginica"
7.3,2.9,63,1.8,"Virginica"
6.7,2.5,58,1.8,"Virginica"
7.2,3.6,61,2.5,"Virginica"
6.5,3.2,51,2,"Virginica"
6.4,2.7,53,1.9,"Virginica"
6.8,3,55,2.1,"Virginica"
5.7,2.5,50,2,"Virginica"
5.8,2.8,51,2.4,"Virginica"
6.4,3.2,53,2.3,"Virginica"
6.5,3,55,1.8,"Virginica"
7.7,3.8,67,2.2,"Virginica"
7.7,2.6,69,2.3,"Virginica"
6,2.2,50,1.5,"Virginica"
6.9,3.2,57,2.3,"Virginica"
5.6,2.8,49,2,"Virginica"
7.7,2.8,67,2,"Virginica"
6.3,2.7,49,1.8,"Virginica"
6.7,3.3,57,2.1,"Virginica"
7.2,3.2,60,1.8,"Virginica"
6.2,2.8,48,1.8,"Virginica"
6.1,3,49,1.8,"Virginica"
6.4,2.8,56,2.1,"Virginica"
7.2,3,58,1.6,"Virginica"
7.4,2.8,61,1.9,"Virginica"
7.9,3.8,64,2,"Virginica"
6.4,2.8,56,2.2,"Virginica"
6.3,2.8,51,1.5,"Virginica"
6.1,2.6,56,1.4,"Virginica"
7.7,3,61,2.3,"Virginica"
6.3,3.4,56,2.4,"Virginica"
6.4,3.1,55,1.8,"Virginica"
6,3,48,1.8,"Virginica"
6.9,3.1,54,2.1,"Virginica"
6.7,3.1,56,2.4,"Virginica"
6.9,3.1,51,2.3,"Virginica"
5.8,2.7,51,1.9,"Virginica"
6.8,3.2,59,2.3,"Virginica"
6.7,3.3,57,2.5,"Virginica"
6.7,3,52,2.3,"Virginica"
6.3,2.5,50,1.9,"Virginica"
6.5,3,52,2,"Virginica"
6.2,3.4,54,2.3,"Virginica"
5.9,3,51,1.8,"Virginica"
